img1_cluster_id,img2_cluster_id,similarity,pval
8-1,8-1,0.46526643031128445,0.965
8-1,8-2,0.796547099666044,0.1503125
8-1,8-3,0.6123596411364293,0.74875
8-1,8-4,0.7679849846260067,0.261875
8-1,8-5,0.7360637631902273,0.38421875
8-1,8-6,0.60498474424392,0.76109375
8-1,8-7,0.6324740403185365,0.70609375
8-1,8-8,0.5898081045157966,0.78859375
8-2,8-1,0.19139722815894294,1
8-2,8-2,0.7293313724236509,0.40984375
8-2,8-3,0.23814352326357865,1
8-2,8-4,0.5462752723605597,0.853125
8-2,8-5,0.4220389494771783,0.98640625
8-2,8-6,0.895216147848487,7.8125e-4
8-2,8-7,0.5542593584772355,0.84125
8-2,8-8,0.6631797041566017,0.62375
8-3,8-1,0.3548273278695835,0.99734375
8-3,8-2,0.8468263938329559,0.03046875
8-3,8-3,0.3583578206233034,0.99734375
8-3,8-4,0.76644070996241,0.26890625
8-3,8-5,0.6238140722132441,0.72578125
8-3,8-6,0.7725597878453558,0.24515625
8-3,8-7,0.5767212251515368,0.80796875
8-3,8-8,0.7521174151269605,0.324375
8-4,8-1,0.8922109424661914,9.375e-4
8-4,8-2,0.5457882283440535,0.8540625
8-4,8-3,0.7158006539317046,0.45890625
8-4,8-4,0.5119915415197482,0.90703125
8-4,8-5,0.8343104485728987,0.05109375
8-4,8-6,0.34488812948995007,0.99796875
8-4,8-7,0.7008570277410171,0.51203125
8-4,8-8,0.2930767004036478,0.999375
8-5,8-1,0.8344963049821934,0.0503125
8-5,8-2,0.4235873330176149,0.9859375
8-5,8-3,0.7738068727638266,0.23890625
8-5,8-4,0.3787443258537063,0.9953125
8-5,8-5,0.7408638605187964,0.365
8-5,8-6,0.25199737100225467,0.99984375
8-5,8-7,0.7153803356996511,0.460625
8-5,8-8,0.2798359030258617,0.99984375
8-6,8-1,0.600725271581565,0.76984375
8-6,8-2,0.6600373942688488,0.6296875
8-6,8-3,0.7411664858475132,0.3640625
8-6,8-4,0.6240544644097874,0.72484375
8-6,8-5,0.76124723841899955,0.290625
8-6,8-6,0.5380256698866503,0.86640625
8-6,8-7,0.748298072893909,0.338125
8-6,8-8,0.4925642839822144,0.9378125
8-7,8-1,0.4797323675935393,0.95296875
8-7,8-2,0.7690192712834164,0.25765625
8-7,8-3,0.5832145778050268,0.79828125
8-7,8-4,0.7438296652494737,0.35203125
8-7,8-5,0.7285726486861128,0.41328125
8-7,8-6,0.7226148336805723,0.434375
8-7,8-7,0.7074014885340312,0.4909375
8-7,8-8,0.5994188807743751,0.77078125
8-8,8-1,0.639625507412276,0.68640625
8-8,8-2,0.8489770360864513,0.02796875
8-8,8-3,0.4310962382098907,0.984375
8-8,8-4,0.8125138468007931,0.10421875
8-8,8-5,0.7351470754162786,0.3871875
8-8,8-6,0.8176427800085968,0.0896875
8-8,8-7,0.6464951323339558,0.66703125
8-8,8-8,0.5744545300115292,0.81125
