img1_cluster_id,img2_cluster_id,similarity,pval
8-1,8-1,0.5829131723698564,0.75796875
8-1,8-2,0.8355699682176672,0.0896875
8-1,8-3,0.39072561523247407,0.97265625
8-1,8-4,0.7741757819758971,0.3015625
8-1,8-5,0.7398931574585688,0.40734375
8-1,8-6,0.8185971895247068,0.1609375
8-1,8-7,0.651332633513936,0.6228125
8-1,8-8,0.6477938161304797,0.63453125
8-2,8-1,0.1358164418923825,1
8-2,8-2,0.755759702143733,0.3540625
8-2,8-3,0.1992544087154689,1
8-2,8-4,0.5586833981269832,0.7946875
8-2,8-5,0.3853088209483462,0.97625
8-2,8-6,0.851369905902472,0.03875
8-2,8-7,0.5332207912843085,0.8325
8-2,8-8,0.7107784857460467,0.47890625
8-3,8-1,0.5529795706492169,0.80296875
8-3,8-2,0.7448902282185355,0.38828125
8-3,8-3,0.6375928667865974,0.65453125
8-3,8-4,0.6795655662063529,0.5565625
8-3,8-5,0.7614592443894619,0.3365625
8-3,8-6,0.6367889467588204,0.6559375
8-3,8-7,0.71506251955592115,0.46875
8-3,8-8,0.45207868965054215,0.91875
8-4,8-1,0.8326191950983499,0.10265625
8-4,8-2,0.6076290463714179,0.71171875
8-4,8-3,0.6988440113821033,0.5065625
8-4,8-4,0.5366407178631218,0.82640625
8-4,8-5,0.8513861868142139,0.03875
8-4,8-6,0.41392333734591746,0.955
8-4,8-7,0.8027874441376004,0.22046875
8-4,8-8,0.3660737813832473,0.985625
8-5,8-1,0.46872804254745615,0.904375
8-5,8-2,0.761796556499647,0.33609375
8-5,8-3,0.5337270110760922,0.83171875
8-5,8-4,0.616331593383233,0.69390625
8-5,8-5,0.6664919316106095,0.5853125
8-5,8-6,0.727572630097228,0.4378125
8-5,8-7,0.6248722077600368,0.67890625
8-5,8-8,0.5281411352552133,0.839375
8-6,8-1,0.8411724254409351,0.06859375
8-6,8-2,0.4416646828145564,0.93
8-6,8-3,0.784419541664165,0.27328125
8-6,8-4,0.40053941366706286,0.96421875
8-6,8-5,0.7579023851694318,0.34734375
8-6,8-6,0.2486623524437947,1
8-6,8-7,0.7231890865046695,0.44859375
8-6,8-8,0.2792085634559722,0.9996875
8-7,8-1,0.5856870896313301,0.7534375
8-7,8-2,0.8488206748405398,0.043125
8-7,8-3,0.5126133402153671,0.85625
8-7,8-4,0.7347926340296718,0.41984375
8-7,8-5,0.7483213040003118,0.38046875
8-7,8-6,0.7293769657825442,0.4340625
8-7,8-7,0.8063645135120567,0.206875
8-7,8-8,0.7243954542389573,0.444375
8-8,8-1,0.31418167235459127,0.998125
8-8,8-2,0.7849711284734429,0.27203125
8-8,8-3,0.5652548733950693,0.786875
8-8,8-4,0.5952785087238879,0.73296875
8-8,8-5,0.6786259790815514,0.5590625
8-8,8-6,0.7666661016306895,0.32140625
8-8,8-7,0.647157501068891,0.63578125
8-8,8-8,0.4902690777958293,0.880625
